,Abbreviation,Word
631,Penins. ,peninsula
632,Periodontol. ,"periodontology, periodontologic(al)"
633,Persec. ,persecution(s)
634,personif. ,personified
635,Perthsh. ,Perthshire
636,Petrogr. ,"petrography, petrographic(al)"
637,Petrol. ,"petrology, petrologic(al)"
638,Pharmaceut. ,pharmaceutical
639,Pharmacol. ,"pharmacology, pharmacological"
640,Philad. ,Philadelphia
641,Philem. ,(in the Bible) Philemon
642,Philipp. ,(in the Bible) Philippians
643,Philol. ,"philology, philologic(al)"
644,Philos. ,"philosophy, philosophic(al)"
645,phonet. ,phonetic(ally)
646,Phonol. ,phonology
647,Photog. ,photography
648,Photogr. ,"photography, photographic(al)"
649,Phrenol. ,phrenology
650,Physical Chem. ,physical chemistry
651,Physical Geogr. , physical geography
652,Q.,quarterly
653,Q. ,queen
654,Q. Eliz.,Queen Elizabeth
655,Quantum Mech. ,quantum mechanics
656,quot. ,quotation
657,quots. ,quotations
658,q.v. ,quod vide
659,R.,royal
660,R.C. Church ,Roman Catholic Church
661,Rebell. ,rebellion
662,Reclam. ,reclamation
663,Recoll. ,recollection
664,Redempt. ,redemption
665,redupl. ,reduplicating
666,refash. ,"refashioned, refashioning"
667,Regist. ,register
668,Reminisc. ,reminiscence(s)
669,Remonstr. ,remonstrance
670,Renfrewsh. ,Renfrewshire
671,Reprod. ,"reproduction, reproductive"
672,Retrosp. ,retrospective
673,Rhode Isl. ,Rhode Island
674,Rom. Antiq. ,Roman antiquities
675,Ross-sh. ,Ross-shire
676,s.,south
677,S. ,"south, southern"
678,Sam. ,       (in the Bible) Samuel
679,Sask. ,       Saskatchewan
680,Sat. ,       Saturday
681,Sax. ,       Saxon
682,sc. ,       scilicet
683,Sc. ,"       Scottish, Scots"
684,Scand. ,"       Scandinavia, Scandinavian"
685,Sch. ,       school
686,Sci. ,"       science(s), scientific"
687,Scot. ,       Scottish
688,Scotl. ,       Scotland
689,s.e. ,       south-eastern (dialect)
690,S.E. ,"       south-east, south-eastern"
691,Sel. ,       selected
692,Sept. ,       September
693,Ser. ,       series
694,Serm. ,       sermon(s)
695,Sess. ,       session
696,Sev. ,       several
697,Shaks. ,       Shakespeare
698,Sheph. ,       shepherd
699,Shetl. ,       Shetland
700,sing. ,       singular
701,Soc. ,       society
702,Som. ,       Somerset
703,Sonn. ,       sonnet
704,south. ,       southern (dialect)
705,sp. ,       spelling
706,Span. ,       Spanish
707,spec. ,       specifically
708,Spec. ,       special
709,Spec. ,       specimen(s)
710,SS. ,       saints
711,St. ,       Saint
712,St. ,       street
713,Staff. ,       Staffordshire
714,Stand. ,       standard
715,Stat. ,       statistical
716,Stratigr.,"stratigraphy, stratigraphical"
717,Struct. ,"structure, structural"
718,subjunct. ,subjunctive
719,subord. ,subordinate
720,subord. cl. ,subordinate clause
721,Subscr. ,subscription
722,Subscript. ,subscription
723,subseq. ,subsequent(ly)
724,superl. ,superlative
725,Supplic. ,supplication(s)
726,Suppress. ,suppression
727,Symmetr. ,symmetrical
728,t.,tense
729,Taxon. ,"taxonomy, taxonomic"
730,techn. ,technical
731,Techn. ,technical
732,Technol.,"technology, technological"
733,Telecomm. ,telecommunications
734,Telegr. ,telegraph
735,Telegr. ,"telegraphy, telegraphic(al)"
736,Teleph. ,"telephony, telephonic"
737,Teratol. ,teratology
738,Terminol. ,"terminology, terminological"
739,Terrestr. ,terrestrial
740,Textbk. ,textbook
741,Theatr. ,"theatre, theatrical"
742,Theoret. ,theoretical
